part,condition,model,acc_mean,acc_std,ece_mean,lat_mean,depth,n_seeds
corr,impulse_noise_s3,trades,0.42,,0.1643955154716968,0.0008519315719604493,,1
corr,impulse_noise_s3,undefended,0.15,,0.6972176200151444,0.001129148006439209,,1
corr,impulse_noise_s3,undefended_vgg,0.19,,0.7087386342883111,0.004563384056091309,,1
corr,impulse_noise_s5,cardnet,0.4266666666666667,0.03511884584284245,0.31808910029629867,1.0342567666371663,150.0,3
corr,impulse_noise_s5,pgd_at,0.3666666666666667,0.05686240703077326,0.10795162826776505,0.0015354323387145995,,3
corr,impulse_noise_s5,rand_smooth,0.42,0.029999999999999985,0.14827770407001176,0.02427066485087077,,3
corr,impulse_noise_s5,trades,0.41333333333333333,0.05859465277082314,0.18156367376446725,0.0009038790067036947,,3
corr,impulse_noise_s5,undefended,0.13,0.01732050807568877,0.6508291018009186,0.001054665247599284,,3
corr,impulse_noise_s5,undefended_vgg,0.10666666666666667,0.015275252316519465,0.7198889400561651,0.0040565411249796545,,3
corr,jpeg_compression_s3,cardnet,0.55,,0.3804684318602085,0.83610191822052,123.8499984741211,1
corr,jpeg_compression_s3,pgd_at,0.62,,0.1671106526255607,0.0014791035652160645,,1
corr,jpeg_compression_s3,rand_smooth,0.56,,0.17870258256793023,0.022205376625061037,,1
corr,jpeg_compression_s3,trades,0.41,,0.1357861641049385,0.0008422088623046875,,1
corr,jpeg_compression_s3,undefended,0.49,,0.3532996687293053,0.0008733487129211426,,1
corr,jpeg_compression_s3,undefended_vgg,0.51,,0.4067607706785201,0.003855392932891846,,1
corr,jpeg_compression_s5,cardnet,0.56,0.009999999999999926,0.39549938234190146,0.7932474978764851,138.9800008138021,3
corr,jpeg_compression_s5,pgd_at,0.6433333333333334,0.03785938897200186,0.22724407846728958,0.0012645570437113446,,3
corr,jpeg_compression_s5,rand_smooth,0.5499999999999999,0.06082762530298219,0.20774244075020154,0.019907224973042807,,3
corr,jpeg_compression_s5,trades,0.3933333333333333,0.05507570547286101,0.13798112322886788,0.0007287851969401041,,3
corr,jpeg_compression_s5,undefended,0.2966666666666667,0.02516611478423581,0.5203780873616536,0.0007945950826009114,,3
corr,jpeg_compression_s5,undefended_vgg,0.38999999999999996,0.045825756949558406,0.5022886511683464,0.003613837560017904,,3
corr,motion_blur_s3,cardnet,0.31,,0.16359360024332997,0.9729535317420959,145.19000244140625,1
corr,motion_blur_s3,pgd_at,0.31,,0.1658807887136936,0.0018625640869140625,,1
corr,motion_blur_s3,rand_smooth,0.33,,0.10450544208288191,0.025724210739135743,,1
corr,motion_blur_s3,trades,0.3,,0.09465271577239036,0.0012735986709594726,,1
corr,motion_blur_s3,undefended,0.21,,0.550666945874691,0.0009721732139587403,,1
corr,motion_blur_s3,undefended_vgg,0.22,,0.603711450099945,0.004632790088653565,,1
corr,motion_blur_s5,cardnet,0.26,0.02999999999999998,0.12106236475209393,0.9991378498077393,145.8066660563151,3
corr,motion_blur_s5,pgd_at,0.2333333333333333,0.02516611478423584,0.11147395332654318,0.0014803314208984375,,3
corr,motion_blur_s5,rand_smooth,0.24333333333333332,0.047258156262526094,0.11016504183411598,0.022928054332733153,,3
corr,motion_blur_s5,trades,0.24666666666666667,0.030550504633038954,0.07644913976391156,0.0008530958493550619,,3
