seed,condition,model,auroc,fpr95
0,pgd40_8,cardnet,0.649427056312561,0.8999999761581421
0,cw,undefended,0.8129000663757324,0.5899999737739563
0,cw,undefended_vgg,0.8482999801635742,0.41999998688697815
0,cw,pgd_at,0.5436999797821045,0.949999988079071
0,cw,trades,0.5013999938964844,0.949999988079071
0,cw,rand_smooth,0.5279000401496887,0.9300000071525574
0,cw,cardnet,0.6484000086784363,0.5799999833106995
0,autoattack_8,undefended,0.21833331882953644,0.8666666746139526
0,autoattack_8,undefended_vgg,0.07930554449558258,1.0
0,autoattack_8,pgd_at,0.5446527600288391,0.9583333134651184
0,autoattack_8,trades,0.5224305391311646,0.9583333134651184
0,autoattack_8,rand_smooth,0.5754166841506958,0.8999999761581421
0,autoattack_8,cardnet,0.6898611187934875,0.4416666626930237
1,fgsm_2,undefended,0.703038215637207,0.8374999761581421
1,fgsm_2,undefended_vgg,0.7299479246139526,0.8208333253860474
1,fgsm_2,pgd_at,0.5398437976837158,0.9416666626930237
1,fgsm_2,trades,0.5129687786102295,0.9458333253860474
1,fgsm_2,rand_smooth,0.5185070037841797,0.9416666626930237
1,fgsm_2,cardnet,0.5104687213897705,1.0
1,fgsm_4,undefended,0.6961979269981384,0.8541666865348816
1,fgsm_4,undefended_vgg,0.7405380606651306,0.8374999761581421
1,fgsm_4,pgd_at,0.5722395777702332,0.9375
1,fgsm_4,trades,0.5210763812065125,0.9333333373069763
1,fgsm_4,rand_smooth,0.5356423258781433,0.9125000238418579
1,fgsm_4,cardnet,0.5318750143051147,1.0
1,fgsm_8,undefended,0.7694618105888367,0.6958333253860474
1,fgsm_8,undefended_vgg,0.7704861164093018,0.8333333134651184
1,fgsm_8,pgd_at,0.5995659828186035,0.887499988079071
1,fgsm_8,trades,0.5360764265060425,0.9458333253860474
1,fgsm_8,rand_smooth,0.5559548139572144,0.8791666626930237
1,fgsm_8,cardnet,0.6272916793823242,0.9458333253860474
1,pgd10_2,undefended,0.18048611283302307,1.0
